times,speed,dir
2022-08-10 6:10,0.522,213.6
2022-08-10 6:20,0.467,202.39
2022-08-10 6:30,0.571,200.27
2022-08-10 6:40,0.458,211.71
2022-08-10 6:50,0.501,187.34
2022-08-10 7:00,0.557,188.26
2022-08-10 7:10,0.373,161.71
2022-08-10 7:20,0.364,179.84
2022-08-10 7:30,0.37,191.07
2022-08-10 7:40,0.422,170.18
2022-08-10 7:50,0.46,199.03
2022-08-10 8:00,0.498,163.57
2022-08-10 8:10,0.304,188.72
2022-08-10 8:20,0.349,165.92
2022-08-10 8:30,0.406,185.23
2022-08-10 8:40,0.244,141.82
2022-08-10 8:50,0.15,177.33
2022-08-10 9:00,0.276,123.63
2022-08-10 9:10,0.104,73.3
2022-08-10 9:20,0.067,12.99
2022-08-10 9:30,0.04,331.5
2022-08-10 9:40,0.097,49.59
2022-08-10 9:50,0.154,126.57
2022-08-10 10:00,0.247,98.62
2022-08-10 10:10,0.266,59.29
2022-08-10 10:20,0.252,75.3
2022-08-10 10:30,0.216,65.69
2022-08-10 10:40,0.149,21.59
2022-08-10 10:50,0.352,57.67
2022-08-10 11:00,0.318,41.05
2022-08-10 11:10,0.566,32.23
2022-08-10 11:20,0.366,40.79
2022-08-10 11:30,0.461,33.59
2022-08-10 11:40,0.459,16.31
2022-08-10 11:50,0.435,25.03
2022-08-10 12:00,0.539,39.96
2022-08-10 12:10,0.48,29.02
2022-08-10 12:20,0.549,3.65
2022-08-10 12:30,0.563,16.92
2022-08-10 12:40,0.474,9.84
2022-08-10 12:50,0.383,24.36
2022-08-10 13:00,0.424,9.77
2022-08-10 13:10,0.505,358.64
2022-08-10 13:20,0.729,21.32
2022-08-10 13:30,0.66,20.03
2022-08-10 13:40,0.791,3.92
2022-08-10 13:50,0.57,7.26
2022-08-10 14:00,0.512,8.76
2022-08-10 14:10,0.568,32.85
2022-08-10 14:20,0.627,15.74
2022-08-10 14:30,0.65,24.44
2022-08-10 14:40,0.403,30.77
2022-08-10 14:50,0.408,7.75
2022-08-10 15:00,0.527,16.54
2022-08-10 15:10,0.489,10.85
2022-08-10 15:20,0.325,11.55
2022-08-10 15:30,0.361,2.06
2022-08-10 15:40,0.238,359.04
2022-08-10 15:50,0.362,344.12
2022-08-10 16:00,0.212,324.81
2022-08-10 16:10,0.289,263.24
2022-08-10 16:20,0.195,253.33
2022-08-10 16:30,0.122,267.18
2022-08-10 16:40,0.332,223.9
2022-08-10 16:50,0.311,206.57
2022-08-10 17:00,0.26,204.79
2022-08-10 17:10,0.492,205.26
2022-08-10 17:20,0.325,175.76
2022-08-10 17:30,0.138,199.88
2022-08-10 17:40,0.391,197.42
2022-08-10 17:50,0.489,200.32
2022-08-10 18:00,0.419,191.58
2022-08-10 18:10,0.445,179.74
2022-08-10 18:20,0.321,190.78
2022-08-10 18:30,0.506,175.58
2022-08-10 18:40,0.38,177.74
2022-08-10 18:50,0.407,179.44
2022-08-10 19:00,0.408,163.78
2022-08-10 19:10,0.337,178.98
2022-08-10 19:20,0.369,206.22
2022-08-10 19:30,0.287,162.57
2022-08-10 19:40,0.141,171.87
2022-08-10 19:50,0.168,181.36
2022-08-10 20:00,0.035,199.98
2022-08-10 20:10,0.097,1.18
2022-08-10 20:20,0.065,342.96
2022-08-10 20:30,0.112,164.48
2022-08-10 20:40,0.028,43.53
2022-08-10 20:50,0.022,324.16
2022-08-10 21:00,0.2,22.97
2022-08-10 21:10,0.302,107.12
2022-08-10 21:20,0.36,103.15
2022-08-10 21:30,0.187,78.87
2022-08-10 21:40,0.164,49.7
2022-08-10 21:50,0.197,29.56
2022-08-10 22:00,0.318,56.01
2022-08-10 22:10,0.357,60.49
2022-08-10 22:20,0.385,41.84
2022-08-10 22:30,0.584,37.07
2022-08-10 22:40,0.498,47.52
2022-08-10 22:50,0.413,51.49
2022-08-10 23:00,0.433,45.65
2022-08-10 23:10,0.46,28.4
2022-08-10 23:20,0.489,14.09
2022-08-10 23:30,0.529,33.99
2022-08-10 23:40,0.553,8
2022-08-10 23:50,0.523,23.43
2022-08-11 0:00,0.776,25.08
2022-08-11 0:10,0.695,22.69
2022-08-11 0:20,1.099,25.03
2022-08-11 0:30,1.012,24.59
2022-08-11 0:40,1.025,34.39
2022-08-11 0:50,1.104,17.94
2022-08-11 1:00,1.047,30.34
2022-08-11 1:10,0.928,18.61
2022-08-11 1:20,0.937,22.98
2022-08-11 1:30,0.62,13.34
2022-08-11 1:40,0.634,18.38
2022-08-11 1:50,0.784,22.41
2022-08-11 2:00,0.773,20.36
2022-08-11 2:10,0.757,15.08
2022-08-11 2:20,0.702,24.85
2022-08-11 2:30,0.524,16.64
2022-08-11 2:40,0.441,0.52
2022-08-11 2:50,0.356,16.14
2022-08-11 3:00,0.647,17.09
2022-08-11 3:10,0.497,29.14
2022-08-11 3:20,0.569,10.03
2022-08-11 3:30,0.655,7.02
2022-08-11 3:40,0.64,11.54
2022-08-11 3:50,0.684,4.28
2022-08-11 4:00,0.575,8.81
2022-08-11 4:10,0.518,352.79
2022-08-11 4:20,0.499,340.33
2022-08-11 4:30,0.332,314.27
2022-08-11 4:40,0.484,299.85
2022-08-11 4:50,0.232,297.78
2022-08-11 5:00,0.221,316.28
2022-08-11 5:10,0.31,269.82
2022-08-11 5:20,0.321,273.58
2022-08-11 5:30,0.28,244.17
2022-08-11 5:40,0.296,251.5
2022-08-11 5:50,0.295,240.13
2022-08-11 6:00,0.24,238.95
2022-08-11 6:10,0.337,219.7
2022-08-11 6:20,0.428,230.59
2022-08-11 6:30,0.342,192.66
2022-08-11 6:40,0.484,219.64
2022-08-11 6:50,0.586,200.78
2022-08-11 7:00,0.583,199.43
